name,codename,version,source,description
suqi-agentic-intel,suqi-agentic-intel,1.0.0,./config/agentic-analytics.yaml,Suqi Agentic Intelligence configuration for Scout analytics platform
DocsWriter,DocsWriter,unknown,./mcp/agents/docs-writer.yaml,
scout-docs-writer,scout-docs-writer,unknown,./mcp/agents/scout-docs-writer.yaml,
Dash,dash-v1,1.0.0,./pulser/agents/dash.yaml,TypeScript/React UI component generation agent
devops-architect,devops-architect,1.0.0,./pulser/agents/devops-architect.yaml,Automate infrastructure and deployment processes with focus on reliability and observability
Devstral,devstral-v1,1.0.0,./pulser/agents/devstral.yaml,System architecture and PRD generation agent
Maya,maya-v1,1.0.0,./pulser/agents/maya.yaml,Documentation generation and maintenance agent
quality-engineer,quality-engineer,2.0.0,./pulser/agents/quality-engineer.yaml,Expert CI/QA + Visualization engineer. Enforces backend/FE gates and can implement a React dashboard with pixel parity to Superset, aligned to design tokens/guidelines and approved libraries.
security-engineer,security-engineer,1.0.0,./pulser/agents/security-engineer.yaml,Dependency scanning, vulnerability assessment, security compliance, and threat detection
SecurityScanner,security-scanner-v1,1.0.0,./pulser/agents/security-scanner.yaml,Security scanning and vulnerability assessment agent
superclaude-cicd-orchestrator,superclaude-cicd-orchestrator,1.0.0,./pulser/agents/superclaude-cicd-workflow.yaml,SuperClaude-powered CI/CD troubleshooting and PR cleanup automation
technical-writer,technical-writer,1.0.0,./pulser/agents/technical-writer.yaml,Create clear, comprehensive technical documentation tailored to specific audiences
agents-list,agents-list,1.0.0,./pulser/tasks/agents-list.yaml,List all registered agents in the repository
